date,text,zero,query,person,psu
Thu Jun 18 07:37:10 PDT 2009,Loving Miami!! Sad the trip is almost over  off to the pool to work on my tan!! Wahoo,0,NO_QUERY,lariddle,2222922743
Wed Jun 03 04:27:46 PDT 2009,@derekallard your welcome ,4,NO_QUERY,DrNinjaPhD,2015362617
Sun May 31 03:04:48 PDT 2009,"@ebony1075 I know, and they look so f*****g sexy too ",4,NO_QUERY,funkyfairy24,1979445704
Sat Apr 18 21:07:00 PDT 2009,Satch has arrived. ,4,NO_QUERY,Catwoman69y2k,1555932014
Mon Jun 15 14:16:48 PDT 2009,"@greggles1969 Please, I'm eating here ",0,NO_QUERY,ASecondOpinion0,2183273079
Sun Jun 07 13:50:17 PDT 2009,"@kateboardman BBC News streaming coverage on laptop, Apprentice on TV. Job done ",4,NO_QUERY,phillipsc,2068294986
Tue Jun 16 19:01:30 PDT 2009,"I feel so old, cause its time for me to go to bed ",0,NO_QUERY,Shylan,2200530288
Mon May 18 06:51:00 PDT 2009,@MikeOrmond Thanks I'd forgotten that it's -8 hours difference in my anticipation ,0,NO_QUERY,sjnaughton,1835835606
Sun May 31 14:13:17 PDT 2009,The HIlls finale today...i cnt believe its already over ,0,NO_QUERY,naciamajmel,1983987590
Sun May 03 07:25:12 PDT 2009,got all dressed and did my make up for nothing  booooo,0,NO_QUERY,_Tweek,1686985332
Sat Jun 20 03:35:50 PDT 2009,Cycling for the whole afternoon....Tiredtiredtired!!!.I just wanna sleep now ,0,NO_QUERY,szetoyan,2251466416
Fri May 01 21:34:36 PDT 2009,Colleen's at a Lady G concert and I am so jelis. ,0,NO_QUERY,phreakelove,1676276925
Sat Jun 06 22:51:19 PDT 2009,can't wait for tmw!! ,4,NO_QUERY,iheartkobe,2062302069
Sat Apr 18 23:07:46 PDT 2009,Adam is precious  isn't he!? - http://twitpic.com/3kzz0,4,NO_QUERY,stacymartinez,1556511744
Sat May 30 19:50:41 PDT 2009,Word of the day ''filter'' -cara  lol,4,NO_QUERY,jennababy13,1977005194
Sun May 03 16:23:41 PDT 2009,doing more assignments so boring  ,0,NO_QUERY,Lady_Kerry,1690794527
Fri May 01 22:50:42 PDT 2009,@markasey Mark you are soooo funny and random! Love it! ,4,NO_QUERY,beatnikdede,1676688397
Sat Jun 06 07:05:15 PDT 2009,Jena's wedding tonight - new shoes? Yes ,4,NO_QUERY,Kayleigh_hope,2054319623
Sun Apr 19 12:36:17 PDT 2009,@selenagomez nice! Sterling knight is in it i lovee him! ,4,NO_QUERY,UrbanxoJONAS,1560005525
Sat May 02 02:01:41 PDT 2009,it was worth it ,4,NO_QUERY,khartviksen,1677428585
Sat Jun 20 14:24:34 PDT 2009,watching boxing - wanna see a knock out! I've never seen one so far ,0,NO_QUERY,Claudia105,2257483511
Mon Jun 01 17:58:23 PDT 2009,what...a day. definitely no barry's tonight   hi my name is negative nancy,0,NO_QUERY,KateGarsson,1998087411
Sun Jun 07 15:15:57 PDT 2009,love my new phone ,4,NO_QUERY,kskoss,2069102397
Sat Apr 18 21:52:17 PDT 2009,"@JoLoPe definitely.  Some people have seemed good from an initial glance at their feed, but reality has shown otherwise ",4,NO_QUERY,Twirrim,1556168161
Wed Jun 17 11:47:52 PDT 2009,I wish I was good at making decisions ,0,NO_QUERY,xojessicax7,2210609703
Sun May 31 04:32:30 PDT 2009,Steve said im like a present ,4,NO_QUERY,leo___,1979796844
Sun May 03 06:12:48 PDT 2009,@masterballerina I pretty much wasted all of toady  I'm watching the Logies -___-   you should do something fun! something exciting! :O,0,NO_QUERY,goudystout,1686632859
Mon Jun 15 20:00:37 PDT 2009,Possibly going to Chicago in July!! ,4,NO_QUERY,bcrites18,2187250081
Tue Jun 02 01:24:56 PDT 2009,@andyroddick But you gotta give major props to yourself for getting through the first 3 rounds without dropping a set. ,4,NO_QUERY,itspauline,2001596912
Sat May 02 13:03:22 PDT 2009,"@heidimontag im just laying around now, listening to your new song. which happens to be amazing btw! so on that note. Jesus is amazing! ",4,NO_QUERY,ewill,1681030854
Fri May 01 20:25:30 PDT 2009,@anastasiya01 yahh i know. ,4,NO_QUERY,ashy_101,1675827864
Mon May 18 02:58:03 PDT 2009,Just finished cleaning the house...  Walked past a mirror just now and... EEK! :O I think I'm going to jump in the shower. Tweet you soon!,4,NO_QUERY,juanbarnard,1834445704
Mon Jun 01 10:18:14 PDT 2009,@eddo_likes_you He is adorable and so are you! What a great movie. ,4,NO_QUERY,CameronCat,1993393128
Mon Jun 22 16:05:52 PDT 2009,Hey everyone!  I got suspended on IDF ,0,NO_QUERY,Heliotrope66,2286178050
Fri May 22 06:25:00 PDT 2009,sitting n court! wish me luck tweeps! traffic ticket!    Amber O'neal,0,NO_QUERY,ambertb20,1882194169
Mon Jun 15 17:01:17 PDT 2009,@Gabiiiii eat FRESH! ,4,NO_QUERY,omghaidonovan,2185192293
Fri Jun 19 08:27:44 PDT 2009,Needs to po my ears but can't ,0,NO_QUERY,amandahuggensxo,2239371562
Sat May 30 03:54:59 PDT 2009,"Ready to plunge into the ÃÂ¯ÃÂ¿ÃÂ½adventure of windows 7ÃÂ¯ÃÂ¿ÃÂ½. Shouldn't be more adventurous than 3.1, 95, 98, 2000 or XP that I used before. I hope! ",4,NO_QUERY,poissonfrit,1970449842
Mon May 18 01:57:28 PDT 2009,@J4yZ33 that's more like it! Ta ,4,NO_QUERY,kahlerisms,1834184567
Fri May 29 22:23:29 PDT 2009,"Fuck everything ever about being sunburnt  but i did get to jetski and wreck a jetski today,so i had fun ^.^",0,NO_QUERY,loganisthesex,1968858163
Mon Jun 15 02:31:02 PDT 2009,"Jeezum its been like a month since I last tweeted. Posted my entry for the underage fest competition thingum...but alas, pure epic fail ",0,NO_QUERY,fairyfictitious,2175964653
Fri Jun 19 04:05:40 PDT 2009,@kashaziz yeah safe but new car is not safe! ,0,NO_QUERY,ahmedsaleemi,2236595983
Mon Jun 01 10:40:17 PDT 2009,"People watching #e3, was it Ringo or Paul? ",4,NO_QUERY,TomMughal,1993621467
Sat May 30 01:56:49 PDT 2009,I wonder how old I have to be in order for people to accept me when I run for Supervisor in San Francisco ,4,NO_QUERY,nancyyeh,1969973461
Wed Jun 03 07:36:10 PDT 2009,is pumped for this amazing day!!!! Life could NOT get any better than it is right now  About to set the wedding date!!!,4,NO_QUERY,_sarahmcguire,2016939076
Wed Jun 03 01:58:10 PDT 2009,First time tweeting ,4,NO_QUERY,GulceBalki,2014568153
Sat Jun 06 16:14:36 PDT 2009,just back from playing tennis with Hubby and now WE OUT! ,4,NO_QUERY,twgrimsley,2059098432
