zero,psu,date,query,person,text
0,2222922743,Thu Jun 18 07:37:10 PDT 2009,NO_QUERY,lariddle,Loving Miami!! Sad the trip is almost over  off to the pool to work on my tan!! Wahoo
4,2015362617,Wed Jun 03 04:27:46 PDT 2009,NO_QUERY,DrNinjaPhD,@derekallard your welcome 
4,1979445704,Sun May 31 03:04:48 PDT 2009,NO_QUERY,funkyfairy24,"@ebony1075 I know, and they look so f*****g sexy too "
4,1555932014,Sat Apr 18 21:07:00 PDT 2009,NO_QUERY,Catwoman69y2k,Satch has arrived. 
0,2183273079,Mon Jun 15 14:16:48 PDT 2009,NO_QUERY,ASecondOpinion0,"@greggles1969 Please, I'm eating here "
4,2068294986,Sun Jun 07 13:50:17 PDT 2009,NO_QUERY,phillipsc,"@kateboardman BBC News streaming coverage on laptop, Apprentice on TV. Job done "
0,2200530288,Tue Jun 16 19:01:30 PDT 2009,NO_QUERY,Shylan,"I feel so old, cause its time for me to go to bed "
0,1835835606,Mon May 18 06:51:00 PDT 2009,NO_QUERY,sjnaughton,@MikeOrmond Thanks I'd forgotten that it's -8 hours difference in my anticipation 
0,1983987590,Sun May 31 14:13:17 PDT 2009,NO_QUERY,naciamajmel,The HIlls finale today...i cnt believe its already over 
0,1686985332,Sun May 03 07:25:12 PDT 2009,NO_QUERY,_Tweek,got all dressed and did my make up for nothing  booooo
0,2251466416,Sat Jun 20 03:35:50 PDT 2009,NO_QUERY,szetoyan,Cycling for the whole afternoon....Tiredtiredtired!!!.I just wanna sleep now 
0,1676276925,Fri May 01 21:34:36 PDT 2009,NO_QUERY,phreakelove,Colleen's at a Lady G concert and I am so jelis. 
4,2062302069,Sat Jun 06 22:51:19 PDT 2009,NO_QUERY,iheartkobe,can't wait for tmw!! 
4,1556511744,Sat Apr 18 23:07:46 PDT 2009,NO_QUERY,stacymartinez,Adam is precious  isn't he!? - http://twitpic.com/3kzz0
4,1977005194,Sat May 30 19:50:41 PDT 2009,NO_QUERY,jennababy13,Word of the day ''filter'' -cara  lol
